ITERATION, [OBJ_FUNC]MIN_VOL, [OBJ]OBJ_FUNC_DRESP:DRESP_VOL_TOPO, [OBJ]OBJ_FUNC_TERM:DRESP_VOL_TOPO, [CON]DISP_CONSTRAINT:LE:DRESP_DISP1_ABS_MAX, [VAR]DRESP_SUM_ENERGY, [VAR]DRESP_VOL_TOPO, [VAR]DRESP_DISP1_ABS_MAX, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
26, 1.6115231e+3, 1.6115231e+3, 1.6115231e+3, 5.9392665e-2, 2.3455513, 1.6115231e+3, 5.9392665e-2, 0.0000000, 1.1149649e-2, 1.7861852e-2, 9.9000001e-1
27, 1.5966129e+3, 1.5966129e+3, 1.5966129e+3, 5.9408586e-2, 2.3462241, 1.5966129e+3, 5.9408586e-2, 0.0000000, 1.0394295e-2, 1.4836468e-2, 9.9000001e-1
28, 1.5839790e+3, 1.5839790e+3, 1.5839790e+3, 5.9589792e-2, 2.3534834, 1.5839790e+3, 5.9589792e-2, 0.0000000, 8.8865701e-3, 1.2476872e-2, 9.9000001e-1
29, 1.5736600e+3, 1.5736600e+3, 1.5736600e+3, 5.9606537e-2, 2.3541551, 1.5736600e+3, 5.9606537e-2, 0.0000000, 7.3108445e-3, 1.2882444e-2, 9.9000001e-1
30, 1.5632972e+3, 1.5632972e+3, 1.5632972e+3, 5.9688337e-2, 2.3574147, 1.5632972e+3, 5.9688337e-2, 0.0000000, 7.3946901e-3, 1.2025567e-2, 9.9000001e-1
31, 1.5541625e+3, 1.5541625e+3, 1.5541625e+3, 5.9662979e-2, 2.3566604, 1.5541625e+3, 5.9662979e-2, 0.0000000, 6.5631275e-3, 1.1795378e-2, 9.9000001e-1
32, 1.5452797e+3, 1.5452797e+3, 1.5452797e+3, 5.9706789e-2, 2.3584576, 1.5452797e+3, 5.9706789e-2, 0.0000000, 6.4232373e-3, 1.1163235e-2, 9.9000001e-1
33, 1.5369797e+3, 1.5369797e+3, 1.5369797e+3, 5.9751075e-2, 2.3598914, 1.5369797e+3, 5.9751075e-2, 0.0000000, 6.0365074e-3, 1.0414934e-2, 9.9000001e-1
34, 1.5287406e+3, 1.5287406e+3, 1.5287406e+3, 5.9702374e-2, 2.3577564, 1.5287406e+3, 5.9702374e-2, 0.0000000, 6.0294406e-3, 1.0931600e-2, 9.9000001e-1
35, 1.5190819e+3, 1.5190819e+3, 1.5190819e+3, 5.9658498e-2, 2.3553689, 1.5190819e+3, 5.9658498e-2, 0.0000000, 7.1185865e-3, 9.8590497e-3, 9.9000001e-1
36, 1.5118308e+3, 1.5118308e+3, 1.5118308e+3, 5.9666868e-2, 2.3558028, 1.5118308e+3, 5.9666868e-2, 0.0000000, 5.3733522e-3, 7.8732148e-3, 9.9000001e-1
37, 1.5047628e+3, 1.5047628e+3, 1.5047628e+3, 5.9619147e-2, 2.3537390, 1.5047628e+3, 5.9619147e-2, 0.0000000, 5.2631600e-3, 7.7062487e-3, 9.9000001e-1
38, 1.4968328e+3, 1.4968328e+3, 1.4968328e+3, 5.9594966e-2, 2.3529911, 1.4968328e+3, 5.9594966e-2, 0.0000000, 5.9424816e-3, 7.4890866e-3, 9.9000001e-1
39, 1.4897573e+3, 1.4897573e+3, 1.4897573e+3, 5.9610836e-2, 2.3534791, 1.4897573e+3, 5.9610836e-2, 0.0000000, 5.3298883e-3, 6.3112983e-3, 9.9000001e-1
40, 1.4834648e+3, 1.4834648e+3, 1.4834648e+3, 5.9652764e-2, 2.3553085, 1.4834648e+3, 5.9652764e-2, 0.0000000, 4.7623017e-3, 5.6616440e-3, 9.9000001e-1
