ITERATION, [OBJ_FUNC]MIN_SE, [OBJ]OBJ_FUNC_DRESP:DRESP_STRAIN_ENERGY, [OBJ]OBJ_FUNC_TERM:DRESP_STRAIN_ENERGY, [CON]VOL_CONSTRAINT:LE:DRESP_VOLUME, [VAR]DRESP_STRAIN_ENERGY, [VAR]DRESP_VOLUME, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 1.9499125, 1.9499125, 1.9499125, 5.0000000e-1, 1.9499125, 8.0000000e+4, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 1.9499125, 1.9499125, 1.9499125, 4.9999648e-1, 1.9499125, 3.9999719e+4, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 1.9492192, 1.9492192, 1.9492192, 4.9981914e-1, 1.9492192, 3.9985531e+4, 0.0000000, 3.5569177e-4, 4.6031303e-3, 9.9000001e-1
2, 1.9477321, 1.9477321, 1.9477321, 4.9992324e-1, 1.9477321, 3.9993859e+4, 0.0000000, 7.6352176e-4, 3.0814908e-3, 9.9000001e-1
3, 1.9479836, 1.9479836, 1.9479836, 4.9995537e-1, 1.9479836, 3.9996430e+4, 0.0000000, 1.2912408e-4, 2.6687700e-3, 9.9000001e-1
4, 1.9480729, 1.9480729, 1.9480729, 4.9996987e-1, 1.9480729, 3.9997590e+4, 1.0000000, 4.5833891e-5, 2.5092075e-3, 9.9000001e-1
