ITERATION, MIN_SE, OBJ_FUNC_DRESP:DRESP_STRAIN_ENERGY, OBJ_FUNC_TERM:DRESP_STRAIN_ENERGY, VOL_CONSTRAINT:LE:DRESP_VOLUME
Norm-Values:, 1.9499125, 1.9499125, 1.9499125, 5.0000000e-1
0, 1.9499125, 1.9499125, 1.9499125, 4.9999648e-1
1, 1.9492192, 1.9492192, 1.9492192, 4.9981914e-1
2, 1.9477321, 1.9477321, 1.9477321, 4.9992324e-1
3, 1.9479836, 1.9479836, 1.9479836, 4.9995537e-1
4, 1.9480729, 1.9480729, 1.9480729, 4.9996987e-1
