0,7.646674,7.646674
1,7.024402,7.024402
2,6.391942,6.391942
3,5.895682,5.895682
4,5.483578,5.483578
5,5.206574,5.206574
6,5.031068,5.031068
7,4.902430,4.902430
8,4.758580,4.758580
9,4.581620,4.581620
10,4.450034,4.450034
11,4.352879,4.352879
12,4.237615,4.237615
13,4.078805,4.078805
14,3.919798,3.919798
15,3.756326,3.756326
16,3.628076,3.628076
17,3.526385,3.526385
18,3.407293,3.407293
19,3.278368,3.278368
20,3.161081,3.161081
21,3.089111,3.089111
22,3.026149,3.026149
23,2.990805,2.990805
24,2.942000,2.942000
25,2.924881,2.924881
26,2.887267,2.887267
27,2.862034,2.862034
28,2.830809,2.830809
29,2.808799,2.808799
30,2.789236,2.789236
31,2.777174,2.777174
32,2.763606,2.763606
33,2.754884,2.754884
34,2.748020,2.748020
35,2.741495,2.741495
36,2.738367,2.738367
37,2.730464,2.730464
38,2.728417,2.728417
39,2.721388,2.721388
40,2.715149,2.715149
41,2.709199,2.709199
42,2.711439,2.711439
43,2.707371,2.707371
44,2.705581,2.705581
45,2.702669,2.702669
46,2.700606,2.700606
47,2.695511,2.695511
48,2.695337,2.695337
49,2.693489,2.693489
50,2.693271,2.693271
51,2.692656,2.692656
52,2.689037,2.689037
53,2.687751,2.687751
