ITERATION, [OBJ_FUNC]MIN_SE, [OBJ]OBJ_FUNC_DRESP:DRESP_STRAIN_ENERGY, [OBJ]OBJ_FUNC_TERM:DRESP_STRAIN_ENERGY, [CON]VOL_CONSTRAINT:LE:DRESP_VOLUME, [VAR]DRESP_STRAIN_ENERGY, [VAR]DRESP_VOLUME, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
32, 2.7636058, 2.7636058, 2.7636058, 4.9795166e-1, 2.7636058, 1.2563320e+3, 0.0000000, 4.9096732e-3, 1.0960579e-2, 9.9000001e-1
33, 2.7548840, 2.7548840, 2.7548840, 4.9829044e-1, 2.7548840, 1.2571868e+3, 0.0000000, 3.1659512e-3, 1.0414906e-2, 9.9000001e-1
34, 2.7480204, 2.7480204, 2.7480204, 4.9864774e-1, 2.7480204, 1.2580883e+3, 0.0000000, 2.4976502e-3, 1.0077135e-2, 9.9000001e-1
35, 2.7414954, 2.7414954, 2.7414954, 4.9870159e-1, 2.7414954, 1.2582241e+3, 0.0000000, 2.3801024e-3, 9.8943785e-3, 9.9000001e-1
36, 2.7383673, 2.7383673, 2.7383673, 4.9857130e-1, 2.7383673, 1.2578954e+3, 0.0000000, 1.1423054e-3, 9.6221678e-3, 9.9000001e-1
37, 2.7304640, 2.7304640, 2.7304640, 4.9885434e-1, 2.7304640, 1.2586095e+3, 0.0000000, 2.8945035e-3, 9.0725981e-3, 9.9000001e-1
38, 2.7284167, 2.7284167, 2.7284167, 4.9881500e-1, 2.7284167, 1.2585103e+3, 0.0000000, 7.5036206e-4, 8.6564859e-3, 9.9000001e-1
39, 2.7213876, 2.7213876, 2.7213876, 4.9896388e-1, 2.7213876, 1.2588859e+3, 0.0000000, 2.5828942e-3, 8.5839508e-3, 9.9000001e-1
40, 2.7151487, 2.7151487, 2.7151487, 4.9900384e-1, 2.7151487, 1.2589867e+3, 0.0000000, 2.2978254e-3, 8.5018603e-3, 9.9000001e-1
41, 2.7091992, 2.7091992, 2.7091992, 4.9900902e-1, 2.7091992, 1.2589998e+3, 0.0000000, 2.1960353e-3, 8.4004616e-3, 9.9000001e-1
42, 2.7114389, 2.7114389, 2.7114389, 4.9873077e-1, 2.7114389, 1.2582977e+3, 0.0000000, 8.2602049e-4, 8.6104227e-3, 9.9000001e-1
43, 2.7073710, 2.7073710, 2.7073710, 4.9884960e-1, 2.7073710, 1.2585975e+3, 0.0000000, 1.5025269e-3, 8.4347278e-3, 9.9000001e-1
44, 2.7055809, 2.7055809, 2.7055809, 4.9901091e-1, 2.7055809, 1.2590045e+3, 0.0000000, 6.6161266e-4, 8.2477685e-3, 9.9000001e-1
45, 2.7026694, 2.7026694, 2.7026694, 4.9905639e-1, 2.7026694, 1.2591193e+3, 0.0000000, 1.0772933e-3, 8.0620293e-3, 9.9000001e-1
46, 2.7006063, 2.7006063, 2.7006063, 4.9908208e-1, 2.7006063, 1.2591841e+3, 0.0000000, 7.6391583e-4, 7.4398965e-3, 9.9000001e-1
47, 2.6955109, 2.6955109, 2.6955109, 4.9937475e-1, 2.6955109, 1.2599225e+3, 0.0000000, 1.8903585e-3, 6.7210593e-3, 9.9000001e-1
48, 2.6953368, 2.6953368, 2.6953368, 4.9932390e-1, 2.6953368, 1.2597942e+3, 0.0000000, 6.4572843e-5, 6.4739431e-3, 9.9000001e-1
49, 2.6934893, 2.6934893, 2.6934893, 4.9942594e-1, 2.6934893, 1.2600516e+3, 0.0000000, 6.8591529e-4, 6.1863079e-3, 9.9000001e-1
50, 2.6932709, 2.6932709, 2.6932709, 4.9945105e-1, 2.6932709, 1.2601150e+3, 0.0000000, 8.1087805e-5, 6.2927040e-3, 9.9000001e-1
51, 2.6926556, 2.6926556, 2.6926556, 4.9948177e-1, 2.6926556, 1.2601925e+3, 0.0000000, 2.2853214e-4, 5.8174119e-3, 9.9000001e-1
52, 2.6890368, 2.6890368, 2.6890368, 4.9950906e-1, 2.6890368, 1.2602614e+3, 0.0000000, 1.3457299e-3, 5.4316521e-3, 9.9000001e-1
53, 2.6877508, 2.6877508, 2.6877508, 4.9960984e-1, 2.6877508, 1.2605156e+3, 1.0000000, 4.7847806e-4, 4.7644987e-3, 9.9000001e-1
