ITERATION, [OBJ_FUNC]MIN_VOLUME, [OBJ]OBJ_FUNC_DRESP:DRESP_VOLUME, [OBJ]OBJ_FUNC_TERM:DRESP_VOLUME, [CON]STRESS_CONSTRAINT:LE:DRESP_STRESS, [VAR]DRESP_VOLUME, [VAR]DRESP_STRESS, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
28, 5.5413770e+4, 5.5413770e+4, 5.5413770e+4, 7.7828046e+2, 5.5413770e+4, 7.7828046e+2, 0.0000000, 7.1518887e-3, 1.2197023e-3, 9.9000001e-1
29, 5.5248324e+4, 5.5248324e+4, 5.5248324e+4, 7.8119354e+2, 5.5248324e+4, 7.8119354e+2, 0.0000000, 6.7091803e-3, 1.1888372e-3, 9.9000001e-1
30, 5.5082508e+4, 5.5082508e+4, 5.5082508e+4, 9.4307666e+2, 5.5082508e+4, 9.4307666e+2, 0.0000000, 6.8374928e-3, 1.2519778e-3, 9.9000001e-1
31, 5.5978707e+4, 5.5978707e+4, 5.5978707e+4, 6.9520624e+2, 5.5978707e+4, 6.9520624e+2, 0.0000000, 3.5410926e-2, 6.2888958e-3, 9.9000001e-1
32, 5.5554172e+4, 5.5554172e+4, 5.5554172e+4, 7.3999579e+2, 5.5554172e+4, 7.3999579e+2, 0.0000000, 1.7054336e-2, 2.7645098e-3, 9.9000001e-1
33, 5.5405141e+4, 5.5405141e+4, 5.5405141e+4, 7.4555994e+2, 5.5405141e+4, 7.4555994e+2, 0.0000000, 5.9799356e-3, 9.9397358e-4, 9.9000001e-1
34, 5.5301730e+4, 5.5301730e+4, 5.5301730e+4, 7.4468744e+2, 5.5301730e+4, 7.4468744e+2, 0.0000000, 4.1946382e-3, 7.7216415e-4, 9.9000001e-1
35, 5.5189305e+4, 5.5189305e+4, 5.5189305e+4, 7.4228998e+2, 5.5189305e+4, 7.4228998e+2, 0.0000000, 4.5762896e-3, 8.4062468e-4, 9.9000001e-1
36, 5.5064230e+4, 5.5064230e+4, 5.5064230e+4, 7.4159619e+2, 5.5064230e+4, 7.4159619e+2, 0.0000000, 5.1611378e-3, 9.5994567e-4, 9.9000001e-1
37, 5.4916375e+4, 5.4916375e+4, 5.4916375e+4, 7.4429352e+2, 5.4916375e+4, 7.4429352e+2, 0.0000000, 6.1381473e-3, 1.1306223e-3, 9.9000001e-1
