ITERATION, MIN_SE, OBJ_FUNC_DRESP:DRESP_STRAIN_ENERGY, OBJ_FUNC_TERM:DRESP_STRAIN_ENERGY, VOL_CONSTRAINT:LE:DRESP_VOLUME
Norm-Values:, 2.8994205, 2.8994205, 2.8994205, 5.0000000e-1
0, 2.8994205, 2.8994205, 2.8994205, 5.0000000e-1
1, 2.9043026, 2.9043026, 2.9043026, 4.9976230e-1
2, 2.9055440, 2.9055440, 2.9055440, 4.9991626e-1
3, 2.9109604, 2.9109604, 2.9109604, 4.9995923e-1
4, 2.9156744, 2.9156744, 2.9156744, 4.9997979e-1
5, 2.9189241, 2.9189241, 2.9189241, 4.9998896e-1
6, 2.9204369, 2.9204369, 2.9204369, 4.9999355e-1
