ITERATION, [OBJ_FUNC]MIN_SE, [OBJ]OBJ_FUNC_DRESP:DRESP_STRAIN_ENERGY, [OBJ]OBJ_FUNC_TERM:DRESP_STRAIN_ENERGY, [CON]VOL_CONSTRAINT:LE:DRESP_VOLUME, [VAR]DRESP_STRAIN_ENERGY, [VAR]DRESP_VOLUME, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 2.8994205, 2.8994205, 2.8994205, 5.0000000e-1, 2.8994205, 8.0000000e+4, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 2.8994205, 2.8994205, 2.8994205, 5.0000000e-1, 2.8994205, 4.0000000e+4, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 2.9043026, 2.9043026, 2.9043026, 4.9976230e-1, 2.9043026, 3.9980984e+4, 0.0000000, 1.6809878e-3, 7.3690154e-3, 9.9000001e-1
2, 2.9055440, 2.9055440, 2.9055440, 4.9991626e-1, 2.9055440, 3.9993301e+4, 0.0000000, 4.2726783e-4, 4.3886374e-3, 9.9000001e-1
3, 2.9109604, 2.9109604, 2.9109604, 4.9995923e-1, 2.9109604, 3.9996738e+4, 0.0000000, 1.8606894e-3, 3.0251800e-3, 9.9000001e-1
4, 2.9156744, 2.9156744, 2.9156744, 4.9997979e-1, 2.9156744, 3.9998383e+4, 0.0000000, 1.6167827e-3, 2.2677232e-3, 9.9000001e-1
5, 2.9189241, 2.9189241, 2.9189241, 4.9998896e-1, 2.9189241, 3.9999117e+4, 0.0000000, 1.1133024e-3, 1.7512814e-3, 9.9000001e-1
6, 2.9204369, 2.9204369, 2.9204369, 4.9999355e-1, 2.9204369, 3.9999484e+4, 1.0000000, 5.1799300e-4, 1.5312185e-3, 9.9000001e-1
